pnames,NIS_f1,NIS_f2,NIS_f3,NI_f1,NI_f2,NI_f3,IS_f1,IS_f2,IS_f3,NS_f1,NS_f2,NS_f3,N_f1,N_f2,N_f3,S_f1,S_f2,S_f3,I_f1,I_f2,I_f3,noInt_f1,noInt_f2,noInt_f3
Q_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.608343227086079,-0.6914062849580891,-3.844848487355157
Q_i0,-7.636272347805742,-1.493402973967826,-7.622783760253142,-0.8565001525284837,-1.8376460116149258,-4.227630672234843,-6.350918522668045,-6.3124175387327845,-1.857330394526314,-8.254986585631029,-3.0061294697443,-4.829959354856882,-4.580985547709765,-0.12163822660219442,-3.6857341771268533,-6.924258339498334,-8.60592687501134,-12.792313843262965,-9.815031010718657,-19.721887567124078,-14.588657329326152,0.0,0.0,0.0
β_MBe_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583621536238642,3.2138231059719233,0.5635392722655469
β_MBe_2_G0,0.005678893092298849,0.0026940696578137686,0.002027031542584068,0.011980838808125132,0.0015213129416938626,0.002049172766633591,0.028723372186108338,0.0014434718365706652,0.004624080697416196,0.007282076934888476,0.001061160540047424,0.0017644843955558918,0.00869139062645762,0.5496480534752902,0.010563357472093792,0.0670784621945872,0.0018697108573455486,0.003994205386363817,0.008023176012449285,0.0015536744990504068,0.0029015892556952926,0.26603908594474157,0.3866700651966225,3.39603273232532
β_MBe_2_G1,0.00832424978095875,0.0036787379262684856,0.0021624485928467764,0.01781717678319931,0.0016184164767805505,0.0022853004344750767,0.03089742333863212,0.001414192194351178,0.009029372975343121,0.009490175883826082,0.0010590868136770985,0.0018131184069460548,0.024182394690632582,0.16633757117091716,0.09973910404903089,0.033283018588358776,0.0018422643047080484,0.004173759865726172,0.010239971868839,0.0015138580069753353,0.0030595190374738297,0.3460865011279937,7.329264283657604,2.065883192662846
β_MBe_2_G2,0.017420181532331415,0.7474704918819987,0.002315112230669125,0.06353723711248026,0.00235147639066381,0.002499026462987038,0.05258683458004419,0.0014860947321495449,0.04231181040893884,0.01619965562678927,0.0011049218617277248,0.0018690694931745855,0.04186747483953076,0.07153540226431788,0.7287100437965022,0.059211723429621,0.0020105846424030623,0.0043671747884841345,0.04414103567436289,0.0015280186860756012,0.0031656963831578414,0.2681854501430833,7.523300290592245,0.01967106114014612
β_MBi_1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
β_MBi_2_G0,0.12636581892567247,0.14711418587529176,0.2314570835359786,0.09215150020301754,0.13513847256723416,0.18446512830175768,0.08707882131594492,0.10298802138859901,0.11913733279049243,0.1330854956664077,0.16971332431493677,0.16768031953897228,0.10383574249072422,0.295666597492972,0.18849739574140406,0.4031528741921088,0.20728648890738313,0.2784916303440808,0.09507335500991287,0.07684810311519966,0.1315406946627828,0.0,0.0,0.0
β_MBi_2_G1,0.13735410228261355,0.06964305581678243,0.16557648840274697,0.0895779256164956,0.0630762709690941,0.09101264468690838,0.08624544816094214,0.0766882217085484,0.10554387861123525,0.1377079414222243,0.07514258835958354,0.0888228495594165,0.0851363457585087,0.20058847886148715,0.08841815308972953,0.11950407766795883,0.10243906774297713,0.19813682327879695,0.10219137708128713,0.059986144262706334,0.1254127823634825,0.0,0.0,0.0
β_MBi_2_G2,0.009370856081540316,0.0007005786473942141,0.09940540665391176,0.03263536947619384,0.005902870077067152,0.0764627587667772,0.028221751040727508,0.028909589543449545,0.08631715795028995,0.012865881472914965,0.03562243217658525,0.08537903177264092,0.005476874082348766,0.10613075097145615,0.011643614821457295,0.1384848053459381,0.1197687803631977,0.12950063204516504,0.010288331301529539,0.04853802163237609,0.06661545734088184,0.0,0.0,0.0
